user_id_1,user_id_2
69,1860
1251,1860
97,1860
509,1860
1280,1860
1591,1860
324,1860
1505,1860
203,1860
1860,1919
878,1860
407,1860
306,1860
1396,1860
395,1860
821,1860
797,1822
231,1822
1114,1784
1383,1784
1156,1784
1063,1784
674,1784
1746,1784
643,1784
582,1784
681,1784
599,1784
1784,1822
1264,1784
1509,1784
178,1784
1784,1962
373,1784
951,1784
488,1784
393,1232
393,1284
393,1390
393,1868
393,753
33,393
393,1616
333,393
393,1695
393,1044
393,1096
233,393
393,1932
393,1628
104,393
388,393
393,1231
393,700
393,1223
393,435
393,1109
393,703
323,393
393,1663
393,732
107,1769
195,1769
900,1769
1769,1923
252,1769
13,1769
1507,1769
793,1769
1769,1842
863,1769
1490,1769
747,1769
1423,1769
220,1769
303,1769
305,1769
1271,1769
517,1769
1387,1769
943,1769
177,1191
177,1451
77,177
177,799
177,1634
177,1333
177,1738
177,1448
177,484
177,1300
177,1681
459,1569
454,459
459,936
412,459
459,1749
295,459
459,1056
255,459
459,1147
459,1973
459,844
459,1243
1346,1880
1023,1346
1346,1545
1346,1615
195,1346
995,1346
1346,1371
1346,1406
814,1346
825,937
8,825
745,825
825,865
825,1023
825,1573
691,825
825,878
825,1228
825,1261
361,825
821,825
825,1355
825,1622
825,1704
825,1019
825,1966
206,825
825,1764
825,1356
825,1328
825,1109
825,999
825,1317
305,825
74,1275
349,623
623,1625
623,985
349,1621
349,604
349,811
349,1313
349,1696
349,1598
349,384
349,1824
349,1397
349,574
349,1600
349,1408
349,547
349,602
349,1959
349,655
349,627
349,914
349,1999
6,349
978,1113
648,1113
827,1113
1429,1658
915,1429
512,1429
1429,1932
722,836
722,1545
722,1126
722,1169
722,786
542,722
103,722
722,791
623,722
722,1863
383,722
722,1596
722,1457
351,1697
351,1253
351,1420
351,944
351,1728
351,773
351,1985
351,1051
351,1755
351,1497
256,351
351,1669
351,1186
351,594
351,1844
217,351
351,1818
157,351
283,985
985,1695
985,1338
985,1947
985,1290
581,985
369,985
985,1026
358,985
985,1287
122,985
985,1431
231,985
365,985
985,1945
276,985
634,985
985,1745
985,1739
367,985
917,985
787,985
985,1109
985,1196
145,153
145,419
145,926
145,903
145,807
935,1086
424,1769
424,452
424,1829
424,837
424,1549
424,1940
424,989
379,1592
202,1592
1592,1715
95,1592
1009,1592
1045,1850
1045,1253
1045,1145
466,1045
1045,1523
1045,1098
1045,1407
389,957
957,999
957,1048
957,1373
61,957
753,957
957,1108
957,1572
415,957
410,957
957,1370
17,957
957,1705
91,957
10,957
957,1462
968,1384
131,1384
1384,1492
1384,1703
232,1384
1114,1468
198,1114
786,1114
1114,1791
1114,1693
348,1114
1114,1630
986,1114
1010,1114
240,1114
449,1114
961,1114
1114,1385
1114,1934
1114,1372
303,1114
909,1114
249,1114
467,1114
699,1114
1072,1084
1084,1098
620,1084
939,1084
936,1084
571,1084
259,1084
1084,1322
1084,1853
437,450
401,450
450,864
450,1985
288,450
450,1123
450,907
450,473
162,450
450,1681
450,1309
450,697
450,1790
450,949
450,483
349,450
227,450
450,1634
450,1987
450,1343
450,1054
311,450
250,1833
250,524
250,531
250,334
250,1128
250,1848
250,1605
250,533
250,1184
156,250
250,842
250,1709
250,1895
250,1727
15,250
1610,1649
693,1649
676,1649
849,1649
1390,1649
1649,1745
1649,1677
895,1649
1380,1649
104,1649
748,1649
812,1649
566,1649
784,1649
1649,1901
1649,1783
416,1649
1595,1649
1268,1709
342,1268
1268,1480
1268,1497
891,1268
121,1268
589,1268
1268,1936
1268,1827
1236,1268
1063,1268
1267,1268
332,1268
1069,1268
1268,1749
412,1268
1268,1835
1268,1582
131,1268
439,1268
805,1268
374,409
204,409
803,927
64,803
803,1397
803,1379
803,903
803,1952
803,878
803,1372
803,917
726,803
803,991
803,1444
803,1218
803,934
248,803
803,871
222,803
803,1210
598,803
