user1,user2,target
259,961,0
260,939,1
927,62,0
415,1353,0
293,1667,1
320,551,1
1835,1716,0
503,1691,0
952,1809,1
509,1197,1
399,876,1
1453,1287,0
901,153,0
1938,1842,0
1966,1648,0
552,1516,0
1055,1701,0
940,487,0
183,365,0
1197,1290,1
104,1728,1
1546,1905,1
369,1099,1
1861,1064,0
102,619,1
919,143,0
1752,1063,0
371,699,0
1987,625,0
644,1623,0
874,1111,1
1850,1723,0
850,1739,0
874,1574,1
1999,1987,0
349,1598,1
1879,1546,0
1128,1651,1
1296,798,0
929,1930,0
5,1126,0
1661,1312,0
615,1236,1
515,666,1
717,931,0
1797,531,0
1225,1518,0
437,694,0
1677,1082,0
1009,1055,0
1371,1340,0
1805,941,0
834,1533,0
78,1217,1
157,351,1
3,1616,0
698,1156,1
1470,1589,1
149,334,1
726,418,0
398,958,1
382,1077,0
332,1107,0
1035,652,0
1429,357,0
113,837,1
964,968,0
1761,214,0
733,1703,0
363,1680,0
967,1070,0
515,1263,1
30,1155,1
639,1517,0
1170,1511,0
829,1520,0
232,1097,1
1036,1296,1
1395,1782,0
709,566,0
462,1945,0
1548,396,0
193,223,1
233,239,0
1856,1875,1
257,128,0
174,1883,0
271,1159,1
901,992,1
1070,812,0
684,951,0
634,980,0
786,1734,1
1461,1509,1
533,1519,1
1601,1475,0
1119,29,0
320,1235,0
1794,442,0
1018,1866,1
62,1265,0
193,1067,1
907,652,0
712,1592,0
753,925,0
1381,1989,1
49,326,0
1658,1149,0
550,1826,0
443,1995,0
349,450,1
382,973,1
689,841,1
1708,1849,0
33,1915,1
1172,1910,0
311,1655,1
477,861,1
1637,64,0
289,631,1
1438,12,0
1165,1390,1
1286,1307,1
1189,1489,0
1002,311,0
213,1430,0
479,1440,1
120,1343,1
1008,339,0
244,290,0
215,1811,0
1142,1310,1
1498,1678,0
1926,1667,0
1913,1778,0
447,18,0
355,57,0
543,401,0
668,424,0
710,40,0
820,1634,0
157,690,1
211,277,0
1678,1740,0
198,1054,0
977,1699,0
1927,1228,0
245,1331,1
1982,716,0
898,1877,0
1374,972,0
1523,1713,0
766,849,1
1440,1472,0
1167,861,0
1631,1290,0
1764,1469,0
620,1084,1
278,812,1
1374,1659,0
789,293,0
129,1292,0
1493,689,0
1940,451,0
347,1119,0
288,839,0
781,745,0
1451,109,0
25,55,0
187,1701,0
1004,1843,0
253,1065,0
860,1051,0
1208,1907,0
629,1928,1
425,736,1
1606,150,0
1526,32,0
1689,1327,0
1026,639,0
130,412,1
1130,1414,1
1721,1836,1
476,259,0
444,234,0
1003,844,0
1026,708,0
1284,571,0
79,824,1
764,1052,0
1834,444,0
77,224,1
299,1721,0
1814,117,0
88,1101,1
1805,1795,0
293,1864,0
1127,1584,1
167,184,1
1813,1116,0
366,359,0
388,1699,1
1809,1972,0
292,559,1
393,515,0
1346,1976,1
506,1730,0
1917,1292,0
1288,37,0
153,363,0
1725,485,0
881,1110,0
1350,1096,0
1018,1547,0
982,1830,1
887,912,1
1894,356,0
165,1055,1
791,427,0
76,1785,1
1466,1339,0
1814,1922,0
882,1433,1
114,70,0
1690,465,0
552,823,1
91,957,1
1242,1686,0
1289,640,0
1729,612,0
1415,1744,0
545,1103,0
129,303,0
787,1448,1
1750,1950,0
266,460,0
1610,315,0
23,835,0
182,1538,1
616,1059,1
1055,101,0
1201,1722,1
696,946,0
761,819,1
1468,975,0
1376,1092,0
382,1406,0
488,1089,0
429,1730,1
1637,1800,1
1157,1558,0
1801,20,0
1969,1106,0
1047,1890,1
17,1346,0
1170,1943,1
96,433,0
1502,1341,0
579,177,0
689,369,0
236,1643,1
1138,1106,0
1801,1598,0
1980,1013,0
29,813,0
1749,1161,0
671,1745,0
1415,1457,1
346,523,1
609,257,0
137,145,0
574,44,0
1004,1501,0
1416,1521,1
845,1299,1
1976,1100,0
62,1130,0
1396,834,0
1440,513,0
41,590,0
1198,1404,0
204,1535,0
808,1164,1
45,474,0
547,1857,1
124,617,0
345,1451,1
622,437,0
1508,1923,1
1981,1034,0
1846,1677,0
1124,455,0
1358,365,0
249,1357,0
246,1353,0
357,1357,1
875,1233,0
334,513,0
1794,1768,0
1361,1369,1
307,1323,1
337,1767,1
814,484,0
344,1559,0
973,1552,1
1139,1985,0
1084,131,0
604,150,0
379,428,1
294,1245,0
1098,1837,0
443,514,0
1592,1548,0
1703,1834,0
1156,1571,0
348,979,0
1213,905,0
840,287,0
146,1948,1
327,1019,0
656,533,0
963,589,0
1659,505,0
666,40,0
1594,64,0
1127,498,0
911,1339,1
718,1300,1
882,1587,1
418,1148,1
1893,1292,0
578,942,1
1416,123,0
286,319,1
1145,1875,0
339,1510,0
632,1013,0
1464,545,0
335,513,0
214,1915,1
1627,72,0
1666,1099,0
1559,1297,0
446,850,1
882,1119,1
331,1104,1
1952,879,0
297,1349,1
77,1026,0
1514,866,0
21,1994,0
946,984,1
1714,1808,0
1183,1419,1
1167,678,0
676,1734,0
1116,1851,1
989,1272,1
1160,1663,0
369,766,1
595,938,0
247,1149,0
12,1308,0
1585,1868,0
743,705,0
548,462,0
314,1262,1
1162,1637,0
1180,1930,1
527,578,0
202,1985,0
852,1488,0
401,106,0
671,774,0
133,353,0
1152,30,0
1679,1701,0
337,1759,1
1192,1997,1
812,45,0
1929,1486,0
1100,1152,1
1986,1286,0
562,1988,1
1879,191,0
1850,751,0
1186,1276,1
1204,1264,1
1379,1175,0
1264,1294,1
494,1862,1
1997,1025,0
759,1310,0
1703,1645,0
969,1286,0
1006,1560,0
880,1057,0
1038,386,0
279,1338,0
249,1214,0
120,311,1
1726,1036,0
744,1151,1
1167,1839,0
198,123,0
521,1139,0
1319,153,0
1681,703,0
545,1778,0
1624,605,0
736,709,0
1105,1521,1
16,1864,1
1392,489,0
555,882,1
992,1848,1
781,421,0
1486,811,0
371,1093,0
1957,597,0
229,1336,1
55,77,1
1108,1420,1
1213,1571,0
1593,1771,0
59,99,0
982,1199,0
1566,85,0
246,1491,1
1414,1452,1
1615,1890,0
765,629,0
1041,1703,0
45,1610,0
1895,1446,0
1982,1367,0
325,1568,0
201,1142,1
821,1329,0
143,840,0
480,1298,1
766,768,1
1334,1317,0
575,1099,1
1683,1984,0
612,1526,1
588,252,0
510,1335,0
1204,140,0
495,1672,1
948,1909,1
506,1010,0
520,1792,1
1732,235,0
930,1056,0
914,1156,0
1168,568,0
226,1872,1
1011,1506,1
834,1606,0
1309,1279,0
1508,693,0
1410,1383,0
844,1689,1
917,227,0
1510,1475,0
189,934,1
1478,143,0
258,314,1
404,814,1
270,1860,1
645,870,0
833,390,0
1177,1194,1
1379,1968,0
870,1894,0
624,1263,1
292,979,0
357,1179,0
10,666,1
234,1134,1
1823,90,0
510,1358,0
1652,1931,0
436,932,1
527,1809,0
1745,1627,0
1279,1818,1
59,1152,1
329,1643,1
1267,1657,1
1281,427,0
1506,1608,1
957,1821,0
1280,1860,1
767,998,1
198,901,0
907,1626,1
898,869,0
218,260,0
47,1165,0
56,981,1
882,839,0
1168,623,0
229,1618,1
1460,32,0
197,1646,1
290,737,1
629,768,1
1300,1718,1
381,1864,1
807,1083,0
172,303,1
93,1535,1
30,1862,0
768,1782,1
1245,1842,0
489,1999,0
261,928,0
582,1341,1
1068,1917,0
344,668,1
10,1500,0
848,1146,1
406,517,0
1912,1810,0
327,638,1
1482,615,0
821,488,0
156,657,0
773,1575,1
691,1352,0
716,614,0
337,1299,0
184,1159,0
1167,827,0
720,1340,1
477,300,0
522,1877,1
1750,1805,0
1113,1187,1
124,1956,1
761,1527,1
291,1592,0
429,563,1
1301,1849,0
1799,1596,0
985,1323,0
1955,1542,0
1927,222,0
443,373,0
977,1049,0
1188,1562,1
1370,912,0
1425,452,0
234,620,0
857,1025,1
1911,167,0
1578,1875,1
1225,1680,0
1043,1116,0
5,558,1
1478,1129,0
440,690,1
1589,341,0
1194,760,0
1678,117,0
779,202,0
726,1092,0
1364,281,0
1917,843,0
382,1410,1
986,507,0
1866,29,0
1145,1206,1
1974,871,0
1303,1576,1
1469,1148,0
327,1206,1
381,1049,0
573,20,0
1433,62,0
999,1881,1
772,131,0
666,446,0
1302,1873,1
45,423,0
1373,1549,0
979,1090,0
833,1933,0
827,975,0
1610,245,0
944,1693,0
907,1956,1
1067,221,0
1527,1672,1
272,1007,1
1397,1760,1
596,1992,1
930,1248,0
1051,502,0
622,1164,0
1980,221,0
1735,115,0
105,231,0
128,915,1
1626,1939,0
87,1934,1
729,714,0
644,1159,1
1523,1908,1
399,1617,0
738,1100,0
1555,605,0
1554,1608,1
1438,1145,0
1448,539,0
1587,779,0
1557,1720,1
1093,1879,1
247,59,0
946,292,0
1613,1049,0
399,1646,0
1512,1940,0
579,769,0
756,1699,0
818,675,0
264,869,1
872,1133,0
534,1007,1
617,969,1
92,190,0
9,1758,1
601,824,0
272,1244,1
419,1755,0
956,1781,1
1849,1926,1
1787,79,0
1976,504,0
166,382,1
1223,1025,0
161,1320,0
124,209,1
1299,1754,0
31,1613,0
592,358,0
1541,282,0
1896,1346,0
106,227,0
64,709,1
131,972,1
427,434,1
776,977,0
1857,482,0
482,514,1
889,1030,0
323,1014,0
1014,1375,1
865,980,1
761,410,0
738,1063,0
1244,300,0
894,1509,1
677,156,0
140,542,1
598,1722,0
462,1880,0
1322,341,0
29,1085,1
1875,1917,0
736,28,0
1077,66,0
82,130,1
581,944,0
428,104,0
594,499,0
449,1424,0
1846,1947,1
580,1338,1
1183,1676,0
222,588,0
802,1784,0
582,919,1
217,1107,0
632,1332,0
616,1073,1
276,1749,1
349,1038,0
622,1927,1
58,1758,1
691,483,0
1623,822,0
801,1823,0
47,743,1
1395,279,0
315,1595,0
449,518,0
1138,1491,1
407,553,0
566,1669,0
179,420,0
1058,1761,1
130,1238,0
459,1309,0
951,1828,0
241,758,0
1738,534,0
1273,1877,1
710,91,0
1908,708,0
1291,1380,1
677,1826,1
397,1374,1
1877,1861,0
533,1598,0
1286,671,0
1394,629,0
944,1548,0
1823,1932,1
448,610,1
634,377,0
1952,1217,0
864,1718,0
1030,1956,0
33,1941,1
1293,1548,1
301,199,0
1702,77,0
1225,1575,0
392,1779,1
262,672,0
93,734,0
636,1115,0
741,181,0
230,1026,1
68,1157,0
1043,1520,0
1119,1440,1
253,1005,0
332,1397,1
590,686,0
895,901,0
1386,299,0
413,727,0
1481,1138,0
1524,1613,1
302,334,0
1601,1762,1
1672,1828,0
1258,1159,0
1307,1821,1
1389,30,0
1540,1912,0
588,243,0
786,312,0
395,671,1
1460,1978,0
1085,1168,0
638,842,0
673,1345,0
323,1714,1
512,1429,1
511,1094,1
1934,368,0
1242,534,0
1722,501,0
131,1297,0
979,1889,0
8,1243,1
78,921,1
103,1864,0
1458,596,0
1661,1718,0
1371,277,0
1974,47,0
754,1623,1
264,1738,1
853,1519,0
1836,213,0
555,804,1
757,1414,0
262,742,1
54,724,0
1196,1609,1
147,1464,0
344,1192,1
1978,294,0
702,1365,0
1534,775,0
117,1400,0
1522,1195,0
1219,706,0
1383,1003,0
1600,1159,0
1309,1723,1
162,1261,0
106,30,0
1176,1748,1
475,871,1
220,931,1
253,928,0
1249,1587,1
87,1931,0
950,111,0
1277,1761,1
399,176,0
105,812,0
55,1192,1
1241,1800,1
1271,714,0
1510,543,0
1088,1153,0
236,1587,0
1607,1592,0
1105,1838,0
318,1953,1
1471,1909,1
1293,1320,1
371,1387,1
1487,1997,0
1069,917,0
1734,678,0
25,650,1
668,737,0
856,1498,0
1649,405,0
405,1962,0
460,1408,0
1256,553,0
974,1177,1
788,309,0
1664,1642,0
95,66,0
183,792,1
397,1129,0
1021,173,0
1424,1537,1
652,36,0
386,1721,1
1720,1331,0
1044,1435,0
1063,934,0
1053,1579,1
82,1636,0
1165,903,0
615,1825,1
1821,335,0
1610,464,0
4,1872,0
540,1446,1
1191,1382,1
1662,440,0
803,1610,1
453,1867,1
65,439,1
1213,963,0
751,1900,0
19,882,0
212,334,1
611,750,1
316,1617,1
517,1447,0
490,1064,1
1136,1856,0
1645,1429,0
1050,1920,1
335,752,0
682,1025,1
42,1040,1
387,697,0
600,1347,1
934,959,0
413,1327,1
1955,1539,0
88,740,0
36,1106,1
20,295,1
1092,608,0
104,44,0
1707,1386,0
1624,527,0
671,357,0
1357,1174,0
1654,1860,0
975,333,0
1917,1028,0
265,345,0
964,671,0
169,1873,1
975,1247,1
1555,1560,1
430,1126,0
1480,1408,0
684,1940,0
1214,1367,1
1908,1124,0
65,140,0
431,324,0
33,1264,0
300,473,0
1337,1101,0
102,1842,0
1477,82,0
909,124,0
356,1323,0
368,886,0
1993,1131,0
442,244,0
689,1572,0
1915,1704,0
1596,990,0
1793,925,0
1943,681,0
325,532,0
505,1880,1
686,1242,0
1302,1199,0
1096,1422,0
1114,991,0
327,693,1
1025,1255,1
1021,202,0
82,535,0
1224,123,0
94,466,1
126,1486,1
446,1885,1
397,268,0
1475,431,0
1421,203,0
1680,462,0
418,436,1
1100,908,0
1461,442,0
1286,1733,0
521,1009,0
1950,319,0
1396,1241,0
67,851,0
1101,1859,1
1062,183,0
1686,245,0
1733,1951,1
475,1935,0
898,1305,0
57,1274,0
1079,1938,1
166,1289,1
1422,149,0
1329,1136,0
931,917,0
1457,1775,1
95,1221,0
1334,1573,0
1120,1833,0
22,341,0
479,312,0
1495,1425,0
1119,1749,0
560,1830,0
1275,888,0
775,1512,0
621,1692,1
941,1264,0
1440,37,0
276,1879,1
363,1260,1
1510,173,0
1681,1925,0
1165,1824,1
165,1720,1
1062,1679,1
506,1745,1
1543,1986,0
141,933,1
1774,146,0
1928,1448,0
1189,802,0
239,266,0
1518,124,0
22,1286,1
1574,1974,1
740,1444,1
1115,209,0
277,1475,0
1492,1404,0
612,991,0
